Month,Violations
7/1/2014,127226
8/1/2014,92873
9/1/2014,117935
10/1/2014,110497
11/1/2014,104819
12/1/2014,106074
1/1/2015,82216
2/1/2015,69841
3/1/2015,110887
4/1/2015,106657
5/1/2015,123767
6/1/2015,109374
7/1/2015,107603
8/1/2015,91523
9/1/2015,111846
10/1/2015,115609
11/1/2015,88703
12/1/2015,83672
1/1/2016,86097
2/1/2016,84624
3/1/2016,100452
4/1/2016,97220
5/1/2016,107232
6/1/2016,95639
7/1/2016,96505
8/1/2016,84867
9/1/2016,94375
10/1/2016,96071
11/1/2016,94753
12/1/2016,78970
1/1/2017,71295
2/1/2017,81423
3/1/2017,89004
4/1/2017,85768
5/1/2017,95093
6/1/2017,87945
7/1/2017,87658
8/1/2017,71065
