Week,ABSViolationsChangeRate,ViolationsChangeSQ,ViolationsChangeRate
7/6/2014,0.4,0.16,0.4
7/13/2014,0.03,0.0009,0.03
7/20/2014,0.04,0.0016,-0.04
7/27/2014,0.14,0.0196,-0.14
8/3/2014,0.11,0.0121,-0.11
8/10/2014,0.05,0.0025,-0.05
8/17/2014,0.13,0.0169,-0.13
8/24/2014,0.18,0.0324,0.18
8/31/2014,0.3,0.09,0.3
9/7/2014,0.08,0.0064,-0.08
9/14/2014,0.07,0.0049,0.07
9/21/2014,0.03,0.0009,0.03
9/28/2014,0.11,0.0121,-0.11
10/5/2014,0.03,0.0009,0.03
10/12/2014,0.19,0.0361,-0.19
10/19/2014,0.26,0.0676,0.26
10/26/2014,0.02,0.0004,-0.02
11/2/2014,0.02,0.0004,-0.02
11/9/2014,0.03,0.0009,-0.03
11/16/2014,0.06,0.0036,0.06
11/23/2014,0.17,0.0289,-0.17
11/30/2014,0.23,0.0529,0.23
12/7/2014,0.15,0.0225,-0.15
12/14/2014,0.09,0.0081,0.09
12/21/2014,0.11,0.0121,-0.11
12/28/2014,0.01,0.0001,-0.01
1/4/2015,0.48,0.2304,-0.48
1/11/2015,0.74,0.5476,0.74
1/18/2015,0.02,0.0004,0.02
1/25/2015,0.13,0.0169,0.13
2/1/2015,0.54,0.2916,-0.54
2/8/2015,0.93,0.8649,0.93
2/15/2015,0.04,0.0016,-0.04
2/22/2015,0.01,0.0001,0.01
3/1/2015,0.15,0.0225,0.15
3/8/2015,0.13,0.0169,0.13
3/15/2015,0.08,0.0064,0.08
3/22/2015,0.13,0.0169,-0.13
3/29/2015,0.04,0.0016,0.04
4/5/2015,0.23,0.0529,-0.23
4/12/2015,0.31,0.0961,0.31
4/19/2015,0.02,0.0004,0.02
4/26/2015,0.19,0.0361,0.19
5/3/2015,0.09,0.0081,-0.09
5/10/2015,0.04,0.0016,0.04
5/17/2015,0.02,0.0004,0.02
5/24/2015,0.15,0.0225,-0.15
5/31/2015,0.14,0.0196,0.14
6/7/2015,0.06,0.0036,-0.06
6/14/2015,0.02,0.0004,-0.02
6/21/2015,0.23,0.0529,-0.23
6/28/2015,0.22,0.0484,0.22
7/5/2015,0.02,0.0004,-0.02
7/12/2015,0.01,0.0001,-0.01
7/19/2015,0,0,0
7/26/2015,0.06,0.0036,-0.06
8/2/2015,0.07,0.0049,-0.07
8/9/2015,0.05,0.0025,-0.05
8/16/2015,0.05,0.0025,0.05
8/23/2015,0.06,0.0036,-0.06
8/30/2015,0.06,0.0036,0.06
9/6/2015,0.17,0.0289,0.17
9/13/2015,0.15,0.0225,0.15
9/20/2015,0.05,0.0025,0.05
9/27/2015,0.08,0.0064,-0.08
10/4/2015,0.04,0.0016,0.04
10/11/2015,0.04,0.0016,-0.04
10/18/2015,0.06,0.0036,-0.06
10/25/2015,0.11,0.0121,-0.11
11/1/2015,0.09,0.0081,0.09
11/8/2015,0.09,0.0081,-0.09
11/15/2015,0.19,0.0361,-0.19
11/22/2015,0.04,0.0016,-0.04
11/29/2015,0.17,0.0289,0.17
12/6/2015,0.02,0.0004,0.02
12/13/2015,0.07,0.0049,-0.07
12/20/2015,0.05,0.0025,-0.05
12/27/2015,0.18,0.0324,-0.18
1/3/2016,0.2,0.04,0.2
1/10/2016,0,0,0
1/17/2016,0.16,0.0256,0.16
1/24/2016,0.02,0.0004,-0.02
1/31/2016,0.12,0.0144,-0.12
2/7/2016,0.2,0.04,0.2
2/14/2016,0.1,0.01,-0.1
2/21/2016,0.07,0.0049,0.07
2/28/2016,0.04,0.0016,-0.04
3/6/2016,0.14,0.0196,0.14
3/13/2016,0.01,0.0001,-0.01
3/20/2016,0.02,0.0004,-0.02
3/27/2016,0.04,0.0016,0.04
4/3/2016,0.04,0.0016,-0.04
4/10/2016,0.12,0.0144,0.12
4/17/2016,0.13,0.0169,-0.13
4/24/2016,0.04,0.0016,0.04
5/1/2016,0.12,0.0144,0.12
5/8/2016,0.09,0.0081,-0.09
5/15/2016,0.1,0.01,0.1
5/22/2016,0.06,0.0036,-0.06
5/29/2016,0.04,0.0016,-0.04
6/5/2016,0.03,0.0009,0.03
6/12/2016,0,0,0
6/19/2016,0.06,0.0036,-0.06
6/26/2016,0.08,0.0064,-0.08
7/3/2016,0.1,0.01,0.1
7/10/2016,0.01,0.0001,-0.01
7/17/2016,0.03,0.0009,-0.03
7/24/2016,0.01,0.0001,-0.01
7/31/2016,0.03,0.0009,0.03
8/7/2016,0.15,0.0225,-0.15
8/14/2016,0.02,0.0004,-0.02
8/21/2016,0.04,0.0016,0.04
8/28/2016,0.02,0.0004,-0.02
9/4/2016,0.2,0.04,0.2
9/11/2016,0.07,0.0049,0.07
9/18/2016,0.08,0.0064,-0.08
9/25/2016,0.07,0.0049,-0.07
10/2/2016,0.01,0.0001,0.01
10/9/2016,0.04,0.0016,0.04
10/16/2016,0.07,0.0049,0.07
10/23/2016,0.04,0.0016,-0.04
10/30/2016,0,0,0
11/6/2016,0,0,0
11/13/2016,0.07,0.0049,0.07
11/20/2016,0.04,0.0016,-0.04
11/27/2016,0.1,0.01,-0.1
12/4/2016,0.05,0.0025,-0.05
12/11/2016,0.24,0.0576,-0.24
12/18/2016,0.14,0.0196,0.14
12/25/2016,0.16,0.0256,0.16
1/1/2017,0.06,0.0036,-0.06
1/8/2017,0.3,0.09,-0.3
1/15/2017,0.23,0.0529,0.23
1/22/2017,0.09,0.0081,0.09
1/29/2017,0.11,0.0121,0.11
2/5/2017,0.06,0.0036,0.06
2/12/2017,0.09,0.0081,0.09
2/19/2017,0.11,0.0121,-0.11
2/26/2017,0.01,0.0001,0.01
3/5/2017,0.06,0.0036,0.06
3/12/2017,0.04,0.0016,-0.04
3/19/2017,0.05,0.0025,0.05
3/26/2017,0.07,0.0049,-0.07
4/2/2017,0.01,0.0001,-0.01
4/9/2017,0.05,0.0025,-0.05
4/16/2017,0.2,0.04,0.2
4/23/2017,0.03,0.0009,-0.03
4/30/2017,0.04,0.0016,-0.04
5/7/2017,0.05,0.0025,0.05
5/14/2017,0.03,0.0009,0.03
5/21/2017,0.05,0.0025,-0.05
5/28/2017,0.05,0.0025,0.05
6/4/2017,0.01,0.0001,-0.01
6/11/2017,0.02,0.0004,-0.02
6/18/2017,0.04,0.0016,-0.04
6/25/2017,0.15,0.0225,-0.15
7/2/2017,0.14,0.0196,0.14
7/9/2017,0.06,0.0036,-0.06
7/16/2017,0.04,0.0016,0.04
7/23/2017,0.02,0.0004,0.02
7/30/2017,0.08,0.0064,-0.08
8/6/2017,0.07,0.0049,-0.07
8/13/2017,0.03,0.0009,-0.03
8/20/2017,0,0,0
8/27/2017,0.59,0.3481,-0.59
