Week	Violations
6/29/2014	20969
7/6/2014	29312
7/13/2014	30143
7/20/2014	28810
7/27/2014	24745
8/3/2014	22033
8/10/2014	20990
8/17/2014	18343
8/24/2014	21582
8/31/2014	27989
9/7/2014	25809
9/14/2014	27620
9/21/2014	28390
9/28/2014	25378
10/5/2014	26186
10/12/2014	21157
10/19/2014	26670
10/26/2014	26022
11/2/2014	25587
11/9/2014	24736
11/16/2014	26180
11/23/2014	21728
11/30/2014	26622
12/7/2014	22537
12/14/2014	24586
12/21/2014	21912
12/28/2014	21665
1/4/2015	11350
1/11/2015	19727
1/18/2015	20080
1/25/2015	22782
2/1/2015	10453
2/8/2015	20226
2/15/2015	19509
2/22/2015	19653
3/1/2015	22544
3/8/2015	25550
3/15/2015	27664
3/22/2015	24092
3/29/2015	25169
4/5/2015	19384
4/12/2015	25396
4/19/2015	25880
4/26/2015	30735
5/3/2015	27965
5/10/2015	29109
5/17/2015	29610
5/24/2015	25218
5/31/2015	28834
6/7/2015	27093
6/14/2015	26537
6/21/2015	20310
6/28/2015	24865
7/5/2015	24350
7/12/2015	24182
7/19/2015	24260
7/26/2015	22798
8/2/2015	21232
8/9/2015	20146
8/16/2015	21119
8/23/2015	19775
8/30/2015	20876
9/6/2015	24375
9/13/2015	28110
9/20/2015	29548
9/27/2015	27313
10/4/2015	28279
10/11/2015	27036
10/18/2015	25330
10/25/2015	22582
11/1/2015	24636
11/8/2015	22453
11/15/2015	18240
11/22/2015	17588
11/29/2015	20631
12/6/2015	21124
12/13/2015	19616
12/20/2015	18575
12/27/2015	15170
1/3/2016	18250
1/10/2016	18160
1/17/2016	21009
1/24/2016	20651
1/31/2016	18190
2/7/2016	21789
2/14/2016	19714
2/21/2016	21152
2/28/2016	20265
3/6/2016	23168
3/13/2016	22967
3/20/2016	22518
3/27/2016	23339
4/3/2016	22400
4/10/2016	24994
4/17/2016	21628
4/24/2016	22541
5/1/2016	25138
5/8/2016	22942
5/15/2016	25236
5/22/2016	23709
5/29/2016	22705
6/5/2016	23485
6/12/2016	23415
6/19/2016	22101
6/26/2016	20346
7/3/2016	22338
7/10/2016	22104
7/17/2016	21413
7/24/2016	21136
7/31/2016	21855
8/7/2016	18563
8/14/2016	18283
8/21/2016	18995
8/28/2016	18652
9/4/2016	22347
9/11/2016	23837
9/18/2016	22004
9/25/2016	20426
10/2/2016	20694
10/9/2016	21480
10/16/2016	23015
10/23/2016	22070
10/30/2016	22031
11/6/2016	21929
11/13/2016	23413
11/20/2016	22517
11/27/2016	20251
12/4/2016	19288
12/11/2016	14629
12/18/2016	16723
12/25/2016	19342
1/1/2017	18267
1/8/2017	12740
1/15/2017	15643
1/22/2017	17067
1/29/2017	19016
2/5/2017	20161
2/12/2017	21887
2/19/2017	19462
2/26/2017	19658
3/5/2017	20780
3/12/2017	19924
3/19/2017	20847
3/26/2017	19369
4/2/2017	19182
4/9/2017	18232
4/16/2017	21865
4/23/2017	21272
4/30/2017	20326
5/7/2017	21422
5/14/2017	22061
5/21/2017	20949
5/28/2017	22014
6/4/2017	21851
6/11/2017	21427
6/18/2017	20631
6/25/2017	17626
7/2/2017	20029
7/9/2017	18907
7/16/2017	19743
7/23/2017	20167
7/30/2017	18562
8/6/2017	17349
8/13/2017	16898
8/20/2017	16959
